symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ADK,2012-03-31,True,Q1,2012,10-Q,46831000.0,256000.0,-2268000.0,-0.19,-0.19,0.0,163673000.0,33193000.0,41312000.0,11000000.0,17870000.0,1502000.0,-7813000.0,10127000.0,,2565000.0,463000.0
ADK,2013-06-30,False,Q2,2013,10-Q,56421000.0,-201000.0,-7010000.0,-0.47,-0.47,0.0,222904000.0,41191000.0,69717000.0,10222000.0,5876000.0,-353000.0,-3836000.0,-1526000.0,,5023000.0,2414000.0
ADK,2012-06-30,False,Q2,2012,10-Q,55005000.0,4038000.0,679000.0,0.05,0.05,0.0,213909000.0,40667000.0,39469000.0,9373000.0,19915000.0,1284000.0,-11900000.0,12625000.0,162883000.0,906000.0,2569000.0
RHE,2018-09-30,False,Q3,2018,10-Q,5256000.0,631000.0,-6421000.0,-0.33,-0.33,0.0,101338000.0,4972000.0,34466000.0,1900000.0,7743000.0,57000.0,-266000.0,473000.0,80908000.0,2105000.0,266000.0
ADK,2012-03-31,True,Q1,2012,10-Q,46831000.0,256000.0,-2268000.0,-0.19,-0.19,0.0,163673000.0,33193000.0,41312000.0,11000000.0,17870000.0,1502000.0,-7813000.0,10127000.0,,2565000.0,463000.0
ADK,2012-09-30,False,Q3,2012,10-Q,61770000.0,4048000.0,-1702000.0,-0.11,-0.11,0.0,236891000.0,43998000.0,46293000.0,9884000.0,18828000.0,5123000.0,-16931000.0,14328000.0,180066000.0,906000.0,4191000.0
ADK,2012-09-30,True,Q3,2012,10-Q,58359000.0,1706000.0,-4506000.0,-0.31,-0.31,0.0,221260000.0,41023000.0,65188000.0,9693000.0,14935000.0,3342000.0,-57153000.0,56320000.0,167627000.0,4745000.0,2904000.0
ADK,2012-12-31,False,FY,2012,10-K,201658000.0,1909000.0,-7040000.0,-0.5,-0.5,0.0,234449000.0,50364000.0,56282000.0,15937000.0,15053000.0,1527000.0,-59162000.0,66388000.0,,5023000.0,5777000.0
ADK,2013-03-31,False,Q1,2013,10-Q,57642000.0,-1207000.0,-2864000.0,-0.2,-0.2,0.0,229164000.0,45582000.0,67977000.0,9870000.0,12347000.0,-6113000.0,765000.0,-719000.0,,5023000.0,1342000.0
ADK,2012-06-30,True,Q2,2012,10-Q,51791000.0,3486000.0,-204000.0,-0.01,-0.01,0.0,199115000.0,38387000.0,65094000.0,9073000.0,18193000.0,112000.0,-41011000.0,42788000.0,150402000.0,3112000.0,1676000.0
